Series▲▼,Product Image,Configuration▲▼,Package▲▼,Ch▲▼,VDS(V)▲▼,VGS(V)▲▼,RDS(on)@1.2V(Ω)▲▼,RDS(on)1.5V(Ω)▲▼,RDS(on)@1.8V(Ω)▲▼,RDS(on)@2.5V(Ω)▲▼,RDS(on)@3V(Ω)▲▼,RDS(on)@4.5V(Ω)▲▼,RDS(on)@6V(Ω)▲▼,RDS(on)@7.5V(Ω)▲▼,RDS(on)@10V(Ω)▲▼,Qg@4.5V(nC)▲▼,Qg@10V(nC)▲▼,Qgs(nC)▲▼,Qgd(nC)▲▼,IDMax.(A)▲▼,PDMax.(W)▲▼,VGS(th)Min.(V)▲▼,RgTyp.(Ω)▲▼,Image path
SiRA60DP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.00135,,,0.00094,38,83,18,4.7,100,57,1.1,0.85,image/mosfets/76711.png
SiRA62DDP,Enlarge,Single,PowerPAK&#174; SO-8,N,30,20,,,,,,0.00195,,,0.00122,20.8,46.3,11.4,2.4,191,71,1,1.2,image/mosfets/62495.png
SiRA62DP,Enlarge,Single,PowerPAK SO-8,N,30,16,,,,,,0.00185,,,0.0012,28.7,61.5,10,5.8,80,65.7,1,0.7,image/mosfets/61550.png
SiRA64DP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.00286,,,0.0021,19.7,43,8.1,2.9,60,27.8,1.1,0.8,image/mosfets/62949.png
SiRA66DP,,Single,PowerPAK SO-8,N,30,20,,,,,,0.0031,,,0.0023,19.2,44,8,2.9,50,62.5,1,1.45,image/mosfets/68128.png
SiRA74DP,Enlarge,Single,PowerPAK SO-8,N,40,20,,,,,,0.0061,,,0.0042,12.4,27,6.3,2.1,81.2,46.2,1,1.45,image/mosfets/68128.png
SiRA80DP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.00093,,,0.00062,59.7,125,25.2,12.3,335,104,1,0.4,image/mosfets/76014.png
SiRA84DP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.0074,,,0.0046,13,25,4.2,3.4,60,34.7,1.1,1.3,image/mosfets/76540.png
SiRA88BDP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.0105,,,0.00683,6.2,12.2,2.3,2.3,40,17,1.2,1.5,image/mosfets/65733.png
SiRA88DP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.01,,,0.0067,8.3,16.8,2.1,2.8,45.5,25,1.1,1.7,image/mosfets/68127.png
SiRA90DP,,Single,PowerPAK SO-8,N,30,20,,,,,,0.00115,,,0.0008,48,102,22,4.7,100,104,0.8,1.3,image/mosfets/68127.png
SiRA96DP,Enlarge,Single,PowerPAK SO-8,N,30,20,,,,,,0.012,,,0.0088,9.9,20.5,4.2,2.5,16,34.7,1,0.73,image/mosfets/77251.png
SiRA99DP,Enlarge,Single,PowerPAK SO-8,P,-30,16,,,,,,0.00265,,,0.0017,84,172.5,35.6,27.5,-195,104,-1,1.3,image/mosfets/77251.png
SiRB40DP,Enlarge,DUAL,PowerPAK SO-8,N,40,20,,,,,,0.0042,,,0.00325,29.5,61.8,11.3,6.9,30,46.2,1.1,1.3,image/mosfets/62976.png
SiRC04DP,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/62976.png
SiRC06DP,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/66937.png
SiRC10DP,Enlarge,Single,PowerPAK SO-8 Single,N,30,20,,,,,,0.0052,,,0.0035,11.2,24,4.6,2,60,43,1,1,image/mosfets/66937.png
SiRC16DP,Enlarge,Single plus integrated Schottky,PowerPAK SO-8,N,25,20,,,,,,0.0014,,,0.00096,31.5,69,12.1,5.6,60,54.3,1,0.5,image/mosfets/77875.png
SiRC18DP,Enlarge,Single plus integrated Schottky,PowerPAK SO-8,N,30,20,,,,,,0.00154,,,0.0011,35,74,11.8,8.4,60,54.3,1,0.5,image/mosfets/77875.png
SiRS4300DP,Enlarge,Single,PowerPAK SO-8S,N,30,20,,,,,,0.00068,,,0.0004,84,180,40,18,680,278,1,1.4,image/mosfets/62979.png
SiRS4301DP,Enlarge,Single,PowerPAK SO-8S,P,-30,20,,,,,,0.0023,,,0.0015,170,365,64,55,-227,132,-1,2.4,image/mosfets/62979.png
SiRS4302DP,Enlarge,Single,PowerPAK SO-8S,N,30,20,,,,,,0.00083,,,0.00057,73,153,30,17,518,245,1,1.2,image/mosfets/76288.png
SiRS4400DP,Enlarge,Single,PowerPAK SO-8S,N,40,20,,,,,,0.00096,,,0.00069,90,195,45,18,473,278,1.1,0.95,image/mosfets/76288.png
SiRS4401DP,Enlarge,Single,PowerPAK SO-8S,P,-40,20,,,,,,0.0029,,,0.0022,180,392,65,59,-198,132,-1,2.5,image/mosfets/77233.png
SiRS4600DP,Enlarge,Single,PowerPAK SO-8S,N,60,20,,,,,,,,0.0013,0.00115,,108,33,14,359,278,2,1.2,image/mosfets/77233.png
SiRS5100DP,Enlarge,Single,PowerPAK SO-8S,N,100,20,,,,,,,,0.0029,0.0025,,68,24,5.1,241,278,2,1.4,image/mosfets/62251.png
SiRS5700DP,Enlarge,Single,PowerPAK SO-8S,N,150,20,,,,,,,,0.0062,0.0056,,73,25,7.6,144,278,2,1.4,image/mosfets/62071.png
SiRS5702DP,Enlarge,Single,PowerPAK SO-8S,N,150,20,,,,,,,,0.0078,0.0072,,58,22,5.1,119,245,2,1.2,image/mosfets/62055.png
SiRS5800DP,Enlarge,Single,PowerPAK SO-8S,N,80,20,,,,,,,,0.0023,0.0018,,81,31,7.6,265,240,2,1.3,image/mosfets/62022.png
SiRS700DP,Enlarge,Single,PowerPAK SO-8S,N,100,20,,,,,,,,0.0043,0.0035,,86,29,14,127,132,2,1.1,image/mosfets/75695.png
SiS106DN,Enlarge,Single,PowerPAK 1212-8,N,60,20,,,,,,,,0.0225,0.0185,,8.9,2.5,1.8,16,24,2,1.3,image/mosfets/75695.png
SiS108DN,Enlarge,Single,PowerPAK 1212-8,N,80,20,,,,,,,,0.044,0.034,,9.2,2.8,1.7,16,24,2,1.3,image/mosfets/77619.png
SiS110DN,Enlarge,Single,PowerPAK 1212-8,N,100,20,,,,,,,,0.07,0.054,,8.5,2.5,1.5,14.2,24,2,1.3,image/mosfets/77619.png
SiS112LDN,Enlarge,Single,PowerPAK 1212-8,N,100,20,,,,,,0.135,,,0.119,2.7,5.9,1.3,0.6,8.8,19.8,1,1.4,image/mosfets/61545.png
SiS126DN,Enlarge,Single,PowerPAK 1212-8,N,80,20,,,,,,,,0.0125,0.0102,,21.1,6.5,3.4,45.1,52,2,0.76,image/mosfets/61545.png
SiS128LDN,Enlarge,Single,PowerPAK 1212-8,N,80,20,,,,,,0.0203,,,0.0156,9.5,20,3.8,2.8,33.7,39,1,0.87,image/mosfets/75978.png
SiS176LDN,Enlarge,Single,PowerPAK 1212-8,N,70,12,,,,,,0.0109,,,,12.6,,3.9,2.3,42.3,39,0.6,0.9,image/mosfets/75978.png
SiS178LDN,Enlarge,Single,PowerPAK 1212-8,N,70,20,,,,,,0.0135,,,0.0095,8.7,18.7,3.7,2.3,45.3,39,1,0.9,image/mosfets/75698.png
SiS184DN,Enlarge,Single,PowerPAK 1212-8,N,60,20,,,,,,,,0.007,0.0058,,21,5.1,3.5,65.3,52,2,0.75,image/mosfets/75698.png
SiS184LDN,Enlarge,Single,PowerPAK 1212-8,N,60,20,,,,,,0.0083,,,0.0054,12.3,27,6,2.65,69.4,52,1,0.75,image/mosfets/62448.png
SiS322DNT,Enlarge,Single,PowerPAK 1212-8S,N,30,20,,,,,,0.012,,,0.0075,6.9,14.3,2.8,1.6,38.3,19.8,1.2,1.6,image/mosfets/62448.png
SiS402DN,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/75963.png
SiS406DN,Enlarge,Single,PowerPAK 1212-8,N,30,25,,,,,,0.0145,,,0.011,8.4,18.2,2.9,2.4,9,1.5,1,2.2,image/mosfets/75963.png
SiS407ADN,,Single,PowerPAK 1212-8,P,-20,8,,,0.019,0.0122,,0.009,,,,63,,8.7,25.3,18,39.1,0.4,3.6,image/mosfets/79595.png
SiS407DN,Enlarge,Single,PowerPAK 1212-8,P,-20,8,,,0.0195,0.0138,,0.0095,,,,38,,4,10,-25,33,-0.4,4.4,image/mosfets/79595.png
SiS410DN,Enlarge,Single,PowerPAK 1212-8,N,20,20,,,,,,0.0063,,,0.0048,16.7,27,4.5,3.5,35,52,1.2,1.3,image/mosfets/63037.png
SiS412DN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.03,,,0.024,3.8,8,1.4,1.1,12,15.6,1,3.2,image/mosfets/63037.png
SiS413DN,,Single,PowerPAK 1212-8,P,-30,20,,,,,,0.0132,,,0.0094,35.4,73,10.6,11.6,18,52,1,1.6,
SiS415DNT,Enlarge,Single,PowerPAK 1212-8S,P,-20,12,,,,0.0095,,0.0055,,,0.004,55.5,117,7.9,12.7,-35,52,-0.4,2.2,
SiS427EDN,Enlarge,Single,PowerPAK 1212-8,P,-30,25,,,,,,0.0213,0.016,,0.0106,22.6,43.5,6,11,-50,52,-1.2,1.2,
SiS429DNT,Enlarge,Single,PowerPAK 1212-8T,P,-30,20,,,,,,0.034,,,0.021,15,32,4,7.5,-20,27.8,-1,5.8,
SiS435DNT,,Single,Thin PowerPAK 1212-8T,P,-20,8,,,0.014,0.0083,,0.0054,,,,57,,7.4,13.1,30,39,0.4,3.8,
SiS438DN,Enlarge,Single,PowerPAK 1212-8,N,20,20,,,,,,0.0125,,,0.0095,7.3,15,2.2,2.1,16,27.7,1,0.9,
SiS4406DN,,Single,PowerPAK 1212-8,N,40,20,,,,,,0.0067,,,0.00475,10.9,23.7,5.3,1.9,62.8,33.7,1.1,2.8,
SiS443DN,,Single,PowerPAK 1212-8,P,-40,20,,,,,,0.016,,,0.0117,41.5,90,10.6,15.1,-35,52,-1,1.7,
SiS447DN,Enlarge,Single,PowerPAK 1212-8,P,-20,12,,,,0.0125,,0.009,,,0.0071,57.5,121,8,13.7,18,52,0.4,1.9,
SiS454DN,,Single,PowerPAK 1212-8,N,20,20,,,,,,0.0054,,,0.0037,18.5,35,5.2,7.4,35,52,1,0.9,
SiS4604DN,,Single,PowerPAK 1212-8,N,60,20,,,,,,,,0.0124,0.0095,,14.5,4.9,2.6,44.4,33.7,2,0.85,
SiS4604LDN,,Single,PowerPAK 1212-8,N,60,20,,,,,,0.0124,,,0.0089,8.5,18.3,4,2.3,45.9,33.7,1,0.9,
SiS4608DN,Enlarge,Single,PowerPAK 1212-8,N,60,20,,,,,,,,0.015,0.0118,,11.7,4.2,1.9,35.7,27.1,2,1.5,
SiS4608LDN,,Single,PowerPAK 1212-8,N,60,20,,,,,,0.0153,,,0.0115,7,15,3.1,1.95,36.2,27.1,1,1.5,
SiS4634LDN,Enlarge,Single,PowerPAK&#174; 1212-8,N,60,20,,,,,,0.038,,,0.029,3.3,7.1,1.7,0.9,8,19.8,1,1.6,
SiS472ADN,,Single,PowerPAK 1212-8,N,30,20,,,,,,0.0105,,,0.0085,12.8,29,3.8,4.1,24,28,1.2,1.2,
SiS472BDN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.0124,,,0.0075,6.9,14.3,2.8,1.6,38.3,19.8,1.2,1.6,
SiS472DN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.0124,,,0.0089,9.8,19.5,3.7,3.7,20,28,1.2,1.2,
SiS476DN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.0035,,,0.0025,22.5,51,8.6,4,40,52,1,1.25,
SiS5712DN,Enlarge,Single,PowerPAK 1212-8,N,150,20,,,,,,,,0.0624,0.0555,,7.5,3.4,1.2,18,39.1,2,0.9,
SiS590DN,Enlarge,N- and p-pair,PowerPAK 1212-8,P,-100,,,,,,,0.338,,,0.251,2.4,11.2,2.4,2.5,4,23.1,-1.5,3.8,
SiS590DN,Enlarge,N- and p-pair,PowerPAK 1212-8,N,100,,,,,,,0.186,,,0.167,2.4,5.2,1,0.5,4,17.9,1.5,1.2,
SiS606BDN,Enlarge,Single,PowerPAK 1212-8,N,100,20,,,,,,,,0.0205,0.0174,,20,6.45,3.5,35.3,52,2,0.76,
SiS782DN,Enlarge,Single plus integrated Schottky (SkyFET),PowerPAK 1212-8,N,30,20,,,,,,0.012,,,0.0095,9.5,20.3,2.8,3.2,16,41,1,0.9,
SiS822DNT,Enlarge,Single,PowerPAK 1212-8T,N,30,20,,,,,,0.03,,,0.024,3.8,8,1.4,1.1,12,15.6,1,3.2,
SiS862ADN,Enlarge,Single,PowerPAK 1212-8,N,60,20,,,,,,0.011,,,0.0072,9.6,19.8,3.8,2.9,52,39,1,0.85,
SiS890ADN,Enlarge,Single,PowerPAK 1212-8,N,100,20,,,,,,0.029,,,0.0255,8.8,19.2,4.3,2.1,24.7,39,1,0.87,
SiS892ADN,Enlarge,Single,PowerPAK&#174; 1212-8,N,100,20,,,,,,0.047,,0.036,0.033,6.1,12.8,1.8,2.9,28,52,1.5,1,
SiS903DN,Enlarge,Dual,PowerPAK 1212-8,P,-20,8,,,0.04,0.0261,,0.0201,,,,28,,3.5,5.6,-6,23,-0.4,11.1,
SiS9122DN,,Dual,PowerPAK 1212-8 Dual,N,100,20,,,,,,,,0.167,0.16,,3.8,1.3,0.6,7.1,17.8,2,1.5,
SiS932EDN,Enlarge,Dual,PowerPAK 1212-8,N,30,12,,,,0.026,,0.022,,,,9.2,,1.9,2,6,23,0.6,3.1,
SiS9446DN,Enlarge,Dual,PowerPAK 1212-8,N,40,20,,,,,,0.017,,,0.012,4.7,10.2,2.7,0.7,34,23,1.1,3,
SiS9634LDN,Enlarge,Dual,PowerPAK 1212-8,N,60,20,,,,,,0.0448,,,0.031,3.3,7.1,1.7,0.9,6,17.9,1,1.6,
SiS990DN,,DUAL,PowerPAK 1212-8,N,100,20,,,,,,,0.105,0.091,0.085,,5.2,1.4,1.5,12.1,25,2.5,3.1,
SiSA01DN,Enlarge,Single,PowerPAK 1212-8,P,-30,16,,,,,,0.0082,,,0.0049,27,56,9.4,8.2,-60,,-1,3.5,
SiSA04DN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.0031,,,0.00215,22.5,51,8.6,4,40,52,1.1,1.25,
SiSA10BDN,Enlarge,Single,PowerPAK 1212-8PT,N,30,20,,,,,,0.005,,,0.0036,11.7,24.1,4.2,2.8,104,63,1.2,1.3,
SiSA12ADN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.006,,,0.0043,13.6,29.5,5.2,2.6,25,28,1.1,1.7,
SiSA12BDN,Enlarge,Single,PowerPAK 1212-8PT,N,30,20,,,,,,0.006,,,0.0043,10,21,4.2,2.6,87,52,1.2,1.4,
SiSA14BDN,Enlarge,Single,PowerPAK 1212-8PT,N,30,20,,,,,,0.00702,,,0.00538,6.6,14,2.93,1.61,72,45,1.1,2.8,
SiSA14DN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.0085,,,0.0051,,19.4,4,1.8,20,26.5,1.1,1.65,
SiSA16DN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.0097,,,0.0068,13.2,31,5.7,2.2,16,27.7,1,1,
SiSA18BDN,Enlarge,Single,PowerPAK 1212-8PT,N,30,20,,,,,,0.0105,,,0.00683,6.2,12.2,2.3,2.3,60,36.8,1.2,1.5,
SiSA24DN,Enlarge,Single,PowerPAK 1212-8,N,25,20,,,,,,0.0024,,,0.0014,17.2,36.5,7.4,3.3,60,52,1,0.75,
SiSA26DN,Enlarge,Single,PowerPAK 1212-8,N,25,16,,,,,,0.0039,,,0.00265,13.2,29,5.4,3.2,60,39,1,0.8,
SiSA35DN,Enlarge,Single,PowerPAK 1212-8,P,-30,20,,,,,,0.03,,,0.019,13.5,28,4.4,4.3,-16,24,-1,3.3,
SiSA40DN,Enlarge,Single,PowerPAK 1212-8,N,20,12,,,,0.0042,,0.00145,,,0.0011,18.2,35.2,7.3,3.6,162,,0.6,0.85,
SiSA66DN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.0031,,,0.0023,19.2,44,8,2.9,40,52,1,1.45,
SiSA72ADN,,Single,PowerPAK 1212-8,N,40,20,,,,,,0.00466,,,0.00342,14.8,33,8.2,2.3,92,52,1,1.3,
SiSA84DN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.0074,,,0.0046,13,25,4.2,3.4,56.5,26.5,1,1.3,
SiSA88DN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.01,,,0.0067,8.3,16.8,2.1,2.8,40.5,19.8,1.1,1.7,
SiSA96DN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.012,,,0.0088,9.9,20.5,4.2,2.5,16,26.5,1,0.73,
SiSC06DN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.004,,,0.0027,17.5,38.5,6.3,2.8,40,46.3,1,1.15,
SiSD5300DN,Enlarge,Single,PowerPAK 1212-F,N,30,16,,,,,,0.0013,,,0.00087,27,59,12,4.4,198,57,1,0.8,
SiSF00DN,Enlarge,Common drain,PowerPAK 1212-8SCD,N,30,20,,,,,,0.0035,,,0.0025,16.1,35,7,2.5,60,69.4,1,1.5,
SiSF02DN,Enlarge,Common drain,PowerPAK 1212-8SCD,N,25,16,,,,,,0.0028,,,0.00175,16.9,37,7.6,3,60,69.4,1,1.1,
SiSF04DN,Enlarge,Common drain,PowerPAK 1212-8SCD,N,30,16,,,,,,0.003,,,0.002,19,40,7.2,4.7,108,69.4,1,1.1,
SiSF06DN,Enlarge,Common drain,PowerPAK 1212-8SCD,N,30,20,,,,,,0.003475,,,0.00225,14,30,6.1,2.8,101,69.4,1,1.1,
SiSF20DN,Enlarge,Common drain,PowerPAK 1212-8SCD,N,60,20,,,,,,0.00925,,,0.0065,10.2,22,3.9,2.9,52,69.4,1,0.7,
SiSH101DN,Enlarge,Single,PowerPAK 1212-8,P,-30,25,,,,,,0.013,,,0.0072,32,68,9,12.2,-35,52,-1.2,1.8,
SiSH103DN,Enlarge,Single,PowerPAK 1212-8,P,-30,25,,,,,,0.015,,,0.0089,23.3,48,8.4,8.6,-54,41.6,-1,3.4,
SiSH106DN,Enlarge,Single,PowerPAK 1212-8,N,20,12,,,,0.0098,,0.0062,,,,17.5,,6.6,2.8,12.5,1.5,0.6,1.4,
SiSH108DN,Enlarge,Single,PowerPAK 1212-8,N,20,16,,,,,,0.0061,,,0.0049,20,,6.3,4.9,14,1.5,1,1.4,
SiSH110DN,Enlarge,Single,PowerPAK 1212-8,N,20,20,,,,,,0.0078,,,0.0053,14,,7,4.5,13.5,1.5,1.5,1.4,
SiSH112DN,Enlarge,Single,PowerPAK 1212-8,N,30,12,,,,,,0.0082,,,0.0075,18,,6.2,3.1,11.3,1.5,0.6,1.2,
SiSH114ADN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.0098,,,0.0075,10.2,21,3.9,3.2,35,39,1.2,1.6,
SiSH129DN,,Single,PowerPAK 1212-8,P,-30,20,,,,,,0.02,,,0.0114,24.6,47.5,7.7,12,-35,52.1,-1.5,1.8,
SiSH402DN,Enlarge,,,,,,,,,,,,,,,,,,,,,,,
SiSH407DN,Enlarge,Single,PowerPAK 1212-8,P,-20,8,,,0.0195,0.0138,,0.0095,,,,38,,4,10,-25,33,-0.4,4.4,
SiSH410DN,Enlarge,Single,PowerPAK 1212-8,N,20,20,,,,,,0.0063,,,0.0048,16.7,27,4.5,3.5,35,52,1.2,1.3,
SiSH472DN,Enlarge,Single,PowerPAK 1212-8,N,30,20,,,,,,0.0124,,,0.0089,9.8,19.5,3.7,3.7,20,28,1.2,1.2,
SiSH536DN,Enlarge,Single,PowerPAK 1212-8SH,N,30,16,,,,,,0.0046,,,0.00325,7.6,16.6,3.7,1.4,67.4,26.5,1,0.9,
SiSH615ADN,Enlarge,Single,PowerPAK 1212-8,P,-20,12,,,,0.0098,,0.006,,,0.0044,59,122,9.1,14.2,-35,52,-0.4,2.2,
SiSH617DN,Enlarge,Single,PowerPAK 1212-8,P,-30,25,,,,,,0.0222,,,0.0123,20.5,39,6,11,-35,52,-1.2,2,
SiSH625DN,Enlarge,Single,PowerPAK 1212-8,P,-30,20,,,,,,0.011,,,0.007,39.5,84.5,11,13.5,-35,52,-1,1.8,
SiSH892BDN,Enlarge,Single,PowerPAK 1212-8SH,N,100,20,,,,,,0.0347,,,0.0304,8,17.4,3.9,1.9,20,29,1,0.9,
SiSHA04DN,Enlarge,Single,PowerPAK 1212-8SH,N,30,20,,,,,,0.0031,,,0.00215,22.5,51,8.6,4,40,52,1.1,1.25,
SiSHA06DN,Enlarge,Single,PowerPAK 1212-8SH,N,30,20,,,,,,0.004,,,0.003,19.7,44.6,10.9,2.6,104,52,1,0.7,
SiSHA10DN,Enlarge,Single,PowerPAK 1212-8SH,N,30,20,,,,,,0.005,,,0.0037,15.4,34,5.8,2.6,30,39,1.1,1.7,
SiSHA12ADN,Enlarge,Single,PowerPAK 1212-8SH,N,30,20,,,,,,0.006,,,0.0043,13.6,29.5,5.2,2.6,25,28,1.1,1.7,
SiSHA14DN,Enlarge,Single,PowerPAK 1212-8SH,N,30,20,,,,,,0.0085,,,0.0051,,19.4,4,1.8,20,26.5,1.1,1.65,
SiSHA18ADN,Enlarge,Single,PowerPAK 1212-8SH,N,30,20,,,,,,0.007,,,0.0046,9.8,21.8,4.8,1.55,60,26.5,1,1.6,
SiSS02DN,Enlarge,Single,PowerPAK 1212-8S,N,25,16,,,,,,0.00183,,,0.0012,24.3,55,9.7,3.5,80,65.7,1,0.75,
SiSS04DN,Enlarge,Single,PowerPAK 1212-8S,N,30,16,,,,,,0.00185,,,0.0012,28.7,61.5,10,5.8,80,65.7,1,0.7,
SiSS05DN,Enlarge,Single,PowerPAK 1212-8S,P,-30,16,,,,,,0.0058,,,0.0035,37,76,15.8,12,-108,65.7,-1,3,
SiSS06DN,Enlarge,Single,PowerPAK 1212-8S,N,30,20,,,,,,0.00203,,,0.00138,24.6,51.1,9.8,4.9,172.6,65.7,1,0.7,
SiSS08DN,Enlarge,Single,PowerPAK 1212-8S,N,25,20,,,,,,0.00187,,,0.00123,26.1,54.5,10.8,6.5,195.5,65.7,1,0.65,
SiSS10ADN,,Single,PowerPAK 1212-8S,N,40,20,,,,,,0.00395,,,0.00265,18.5,40.5,9.3,2.8,109,56.8,1.1,1.4,
SiSS12DN,,Single,PowerPAK 1212-8S,N,40,20,,,,,,0.00274,,,0.00198,28.7,59,10.2,7.6,60,65.7,1.1,1,
SiSS176LDN,Enlarge,Single,PowerPAK&#174; 1212-8S,N,70,12,,,,,0.0125,0.0109,,,,12.6,,3.9,2.3,42.3,39,0.6,0.9,
SiSS178LDN,Enlarge,Single,PowerPAK 1212-8S,N,70,20,,,,,,0.0135,,,0.0095,8.7,18.7,3.7,2.3,45.3,39,1,0.9,
SiSS22DN,Enlarge,Single,PowerPAK 1212-8S,N,60,20,,,,,,,,0.005,0.004,,28.8,8.7,5.1,90.6,65.7,2,0.85,
SiSS22LDN,Enlarge,Single,PowerPAK 1212-8S,N,60,20,,,,,,0.0051,,,0.00365,17.4,37.3,7,4.7,92.5,65.7,1,0.85,
SiSS23DN,,Single,PowerPAK 1212-8S,P,-20,8,,,0.0115,0.0063,,0.0045,,,,93,195,12,21,50,57,0.4,2.6,
SiSS26DN,Enlarge,Single,PowerPAK 1212-8S,N,60,20,,,,,,,0.0078,0.0054,0.0045,,24.5,6.5,4.5,60,57,2,0.85,
SiSS26LDN,Enlarge,Single,PowerPAK 1212-8S,N,60,20,,,,,,0.0062,,,0.0043,15.2,31.5,6.2,4.5,81.2,57,1,0.85,
SiSS27ADN,Enlarge,Single,PowerPAK 1212-8S,P,-30,20,,,,,,0.0081,0.0068,,0.0051,36.6,77.5,11.8,11.4,-50,57,-1,3,
SiSS27DN,Enlarge,Single,PowerPAK 1212-8S,P,-30,20,,,,,,0.009,0.007,,0.0056,45,92,15,16,50,57,1.2,3,
SiSS28DN,Enlarge,Single,PowerPAK 1212-8S,N,25,16,,,,,,0.00224,,,0.00152,21.8,48.1,8.6,3.4,60,57,1,0.7,
SiSS30ADN,Enlarge,Single,PowerPAK 1212-8S,N,80,20,,,,,,,,0.0105,0.0089,,19.5,6.2,3.4,54.7,57,2,0.8,
SiSS30DN,Enlarge,Single,PowerPAK 1212-8S,N,80,20,,,,,,,,0.0103,0.00825,,26,7.4,4.5,54.7,57,2,0.81,
SiSS30LDN,Enlarge,Single,PowerPAK 1212-8S,N,80,20,,,,,,0.0122,,,0.0085,15.2,32.5,6.7,3.9,55.5,57,1,0.82,
SiSS32ADN,Enlarge,Single,PowerPAK 1212-8S,N,80,20,,,,,,,,0.0087,0.0073,,24,7.2,4.3,63,65.7,2,0.9,
SiSS32DN,Enlarge,Single,PowerPAK 1212-8S,N,80,20,,,,,,,,0.0087,0.0072,,27.6,9.3,4.3,63,65.7,2,0.83,
SiSS32LDN,Enlarge,Single,PowerPAK 1212-8S,N,80,20,,,,,,0.0095,,,0.0072,17.7,37.5,7.3,4.6,63,65.7,1,0.86,
SiSS40DN,Enlarge,Single,PowerPAK 1212-8S,N,100,20,,,,,,,0.026,0.023,0.021,10,16,3.4,4.2,36.5,52,2.3,0.9,
SiSS42DN,Enlarge,Single,PowerPAK 1212-8S,N,100,20,,,,,,,,0.017,0.0144,,24.8,7.4,3.8,40.5,57,2,0.85,
SiSS42LDN,Enlarge,Single,PowerPAK 1212-8S,N,100,20,,,,,,0.018,,,0.0149,14.6,32,6.4,3.5,39,57,1,0.85,
SiSS4402DN,,Single,PowerPAK 1212-8S,N,40,20,,,,,,0.0032,,,0.0022,21.5,46.7,9.3,4,128,65.7,1,1.1,
SiSS4409DN,Enlarge,Single,PowerPAK 1212-8S,P,-40,20,,,,,,0.012,,,0.009,38.1,84,14,12.2,-59.2,56.8,-1,2.2,
SiSS4410DN,Enlarge,Single,PowerPAK 1212-8S,N,40,20,,,,,,,,0.0135,0.009,5.3,11.5,2.9,0.9,36,19.8,1.1,3.2,
SiSS46DN,Enlarge,Single,PowerPAK 1212-8S,N,100,20,,,,,,,,0.0146,0.0128,,28,8.8,4.2,45.3,65.7,2,0.85,
SiSS50DN,,Single,PowerPAK 1212-8S,N,45,20,,,,,,0.0041,,,0.00283,21.4,46.7,11.1,3.6,108,65.7,1.1,1.15,
SiSS5108DN,,Single,PowerPAK 1212-8S,N,100,20,,,,,,,,0.0124,0.0105,,14.8,6.3,1.3,55.9,65.7,2,1,
SiSS5110DN,,Single,PowerPAK 1212-8S,N,100,20,,,,,,,,0.016,0.0126,,12.8,4.9,1.4,46.4,56.8,2,1,
SiSS5112DN,,Single,PowerPAK 1212-8S,N,100,20,,,,,,,,0.0185,0.0149,,10.6,4.5,0.92,40.7,52,2,1,
SiSS52DN,Enlarge,Single,PowerPAK 1212-8S,N,30,16,,,,,,0.0019,,,0.0012,19.9,43.2,9.6,3.9,162,57,1,0.42,
SiSS54DN,Enlarge,Single,PowerPAK 1212-8S,N,30,16,,,,,,0.0015,,,0.00106,21,47.5,11.3,3,185.6,65.7,1,0.75,
SiSS5623DN,Enlarge,Single,PowerPAK 1212-8S,P,-60,20,,,,,,0.046,,,0.024,10.1,21.8,6.4,2.7,-36.3,56.8,-1.4,1,
SiSS5708DN,,Single,PowerPAK 1212-8S,N,150,20,,,,,,,,0.027,0.023,,12.8,6,1.4,33.8,65.7,2,1.25,
SiSS5710DN,,Single,PowerPAK 1212-8S,N,150,20,,,,,,,,0.037,0.0315,,10,5,1.15,26.2,54.3,2,1.4,
